,Date, Close/Last, Volume, Open, High, Low,predicted,actual,difference
0,11/18/2020,3567.79, --,3612.09,3619.09,3567.33,3395.163831375763,3567.79,172.62616862423693
1,11/17/2020,3609.53, --,3610.31,3623.11,3588.68,3390.7016725441977,3609.53,218.82832745580254
2,11/16/2020,3626.91, --,3600.16,3628.51,3600.16,3396.4209398952244,3626.91,230.4890601047755
3,11/13/2020,3585.15, --,3552.57,3593.66,3552.57,3392.4713819239278,3585.15,192.67861807607233
4,11/12/2020,3537.01, --,3562.67,3569.02,3518.58,3395.9380899963494,3537.01,141.07191000365083
5,11/11/2020,3572.66, --,3563.22,3581.16,3557.0,3395.847294928476,3572.66,176.81270507152385
6,11/10/2020,3545.53, --,3543.26,3557.22,3511.91,3394.2857769993843,3545.53,151.24422300061588
7,11/09/2020,3550.5, --,3583.04,3645.99,3547.48,3399.6977773694753,3550.5,150.80222263052474
8,11/06/2020,3509.44, --,3508.34,3521.58,3484.34,3393.0426969556843,3509.44,116.39730304431578
9,11/05/2020,3510.45, --,3485.74,3529.05,3485.74,3402.204755053475,3510.45,108.24524494652496
10,11/04/2020,3443.44, --,3406.46,3486.25,3405.17,3393.987344223466,3443.44,49.4526557765339
11,11/03/2020,3369.02, --,3336.25,3389.49,3336.25,3401.9417733424384,3369.02,-32.92177334243843
12,11/02/2020,3310.24, --,3296.2,3330.14,3279.74,3397.8972597172233,3310.24,-87.6572597172235
13,10/30/2020,3269.96, --,3293.59,3304.93,3233.94,3399.0080800479855,3269.96,-129.04808004798542
14,10/29/2020,3310.11, --,3277.17,3341.05,3259.82,3403.6868416193415,3310.11,-93.5768416193414
15,10/28/2020,3271.03, --,3342.48,3342.48,3268.89,3395.430934833789,3271.03,-124.4009348337886
16,10/27/2020,3390.68, --,3403.15,3409.51,3388.71,3408.6007514410876,3390.68,-17.92075144108776
17,10/26/2020,3400.97, --,3441.42,3441.42,3364.86,3394.3237654638447,3400.97,6.646234536155134
18,10/23/2020,3465.39, --,3464.9,3466.46,3440.45,3409.652702001173,3465.39,55.73729799882676
19,10/22/2020,3453.49, --,3438.5,3460.53,3415.34,3398.0123225677653,3453.49,55.477677432234486
20,10/21/2020,3435.56, --,3439.91,3464.86,3433.06,3405.6740481457555,3435.56,29.885951854244468
21,10/20/2020,3443.12, --,3439.38,3476.93,3435.65,3406.1394068859026,3443.12,36.980593114097246
22,10/19/2020,3426.92, --,3493.66,3502.42,3419.93,3398.7067165620724,3426.92,28.213283437927657
23,10/16/2020,3483.81, --,3493.5,3515.76,3480.45,3415.087102607766,3483.81,68.72289739223379
24,10/15/2020,3483.34, --,3453.72,3489.08,3440.89,3393.5483763033703,3483.34,89.79162369662981
25,10/14/2020,3488.67, --,3515.47,3527.94,3480.55,3419.534965767608,3488.67,69.13503423239217
26,10/13/2020,3511.93, --,3534.01,3534.01,3500.86,3395.2001958680235,3511.93,116.72980413197638
27,10/12/2020,3534.22, --,3500.02,3549.85,3499.61,3415.7097656423784,3534.22,118.51023435762136
28,10/09/2020,3477.13, --,3459.67,3482.34,3458.07,3405.378681705774,3477.13,71.75131829422617
29,10/08/2020,3446.83, --,3434.28,3447.28,3428.15,3404.521892576825,3446.83,42.30810742317499
30,10/07/2020,3419.45, --,3384.56,3426.26,3384.56,,,
31,10/06/2020,3360.95, --,3408.74,3431.56,3354.54,,,
32,10/05/2020,3408.63, --,3367.27,3409.57,3367.27,,,
33,10/02/2020,3348.44, --,3338.94,3369.1,3323.69,,,
34,10/01/2020,3380.8, --,3385.87,3397.18,3361.39,,,
35,09/30/2020,3363.0, --,3341.21,3393.56,3340.47,,,
36,09/29/2020,3335.47, --,3350.92,3357.92,3327.54,,,
37,09/28/2020,3351.6, --,3333.9,3360.74,3332.91,,,
38,09/25/2020,3298.46, --,3236.66,3306.88,3228.44,,,
39,09/24/2020,3246.59, --,3226.14,3278.7,3209.45,,,
40,09/23/2020,3236.92, --,3320.11,3323.35,3232.57,,,
41,09/22/2020,3315.57, --,3295.75,3320.31,3270.95,,,
42,09/21/2020,3281.06, --,3285.57,3285.57,3229.1,,,
43,09/18/2020,3319.47, --,3357.38,3362.27,3292.4,,,
44,09/17/2020,3357.01, --,3346.86,3375.17,3328.82,,,
45,09/16/2020,3385.49, --,3411.23,3428.92,3384.45,,,
46,09/15/2020,3401.2, --,3407.73,3419.48,3389.25,,,
47,09/14/2020,3383.54, --,3363.56,3402.93,3363.56,,,
48,09/11/2020,3340.97, --,3352.7,3368.95,3310.47,,,
49,09/10/2020,3339.19, --,3412.56,3425.55,3329.25,,,
50,09/09/2020,3398.96, --,3369.82,3424.77,3366.84,,,
51,09/08/2020,3331.84, --,3371.88,3379.97,3329.27,,,
52,09/04/2020,3426.96, --,3453.6,3479.15,3349.63,,,
53,09/03/2020,3455.06, --,3564.74,3564.85,3427.41,,,
54,09/02/2020,3580.84, --,3543.76,3588.11,3535.23,,,
55,09/01/2020,3526.65, --,3507.44,3528.03,3494.6,,,
56,08/31/2020,3500.31, --,3509.73,3514.77,3493.25,,,
57,08/28/2020,3508.01, --,3494.69,3509.23,3484.32,,,
58,08/27/2020,3484.55, --,3485.14,3501.38,3468.35,,,
59,08/26/2020,3478.73, --,3449.97,3481.07,3444.15,,,
60,08/25/2020,3443.62, --,3435.95,3444.21,3425.84,,,
61,08/24/2020,3431.28, --,3418.09,3432.09,3413.13,,,
62,08/21/2020,3397.16, --,3386.01,3399.96,3379.31,,,
63,08/20/2020,3385.51, --,3360.48,3390.8,3354.69,,,
64,08/19/2020,3374.85, --,3392.51,3399.54,3369.66,,,
65,08/18/2020,3389.78, --,3387.04,3395.06,3370.15,,,
66,08/17/2020,3381.99, --,3380.86,3387.59,3379.22,,,
67,08/14/2020,3372.85, --,3368.66,3378.51,3361.64,,,
68,08/13/2020,3373.43, --,3372.95,3387.24,3363.35,,,
69,08/12/2020,3380.35, --,3355.46,3387.89,3355.46,,,
70,08/11/2020,3333.69, --,3370.34,3381.01,3326.44,,,
71,08/10/2020,3360.47, --,3356.04,3363.29,3335.44,,,
72,08/07/2020,3351.28, --,3340.05,3352.54,3328.72,,,
73,08/06/2020,3349.16, --,3323.17,3351.03,3318.14,,,
74,08/05/2020,3327.77, --,3317.37,3330.77,3317.37,,,
75,08/04/2020,3306.51, --,3296.6,3306.84,3286.37,,,
76,08/03/2020,3294.61, --,3288.26,3302.73,3284.53,,,
77,07/31/2020,3271.12, --,3270.45,3272.17,3220.26,,,
78,07/30/2020,3246.22, --,3231.76,3250.92,3204.13,,,
79,07/29/2020,3258.44, --,3227.22,3264.74,3227.22,,,
80,07/28/2020,3218.44, --,3234.27,3243.72,3216.17,,,
81,07/27/2020,3239.41, --,3219.84,3241.43,3214.25,,,
82,07/24/2020,3215.63, --,3218.58,3227.26,3200.05,,,
83,07/23/2020,3235.66, --,3271.64,3279.99,3222.66,,,
84,07/22/2020,3276.02, --,3254.86,3279.32,3253.1,,,
85,07/21/2020,3257.3, --,3268.52,3277.29,3247.77,,,
86,07/20/2020,3251.84, --,3224.29,3258.61,3215.16,,,
87,07/17/2020,3224.73, --,3224.21,3233.52,3205.65,,,
88,07/16/2020,3215.57, --,3208.36,3220.39,3198.59,,,
89,07/15/2020,3226.56, --,3225.98,3238.28,3200.76,,,
90,07/14/2020,3197.52, --,3141.11,3200.95,3127.66,,,
91,07/13/2020,3155.22, --,3205.08,3235.32,3149.43,,,
92,07/10/2020,3185.04, --,3152.47,3186.82,3136.22,,,
93,07/09/2020,3152.05, --,3176.17,3179.78,3115.7,,,
94,07/08/2020,3169.94, --,3153.07,3171.8,3136.53,,,
95,07/07/2020,3145.32, --,3166.44,3184.15,3142.93,,,
96,07/06/2020,3179.72, --,3155.29,3182.59,3155.29,,,
97,07/02/2020,3130.01, --,3143.64,3165.81,3124.52,,,
98,07/01/2020,3115.86, --,3105.92,3128.44,3101.17,,,
99,06/30/2020,3100.29, --,3050.2,3111.51,3047.83,,,
100,06/29/2020,3053.24, --,3018.59,3053.89,2999.74,,,
101,06/26/2020,3009.05, --,3073.2,3073.73,3004.63,,,
102,06/25/2020,3083.76, --,3046.6,3086.25,3024.01,,,
103,06/24/2020,3050.33, --,3114.4,3115.01,3032.13,,,
104,06/23/2020,3131.29, --,3138.7,3154.9,3127.12,,,
105,06/22/2020,3117.86, --,3094.42,3120.92,3079.39,,,
106,06/19/2020,3097.74, --,3140.29,3155.53,3083.11,,,
107,06/18/2020,3115.34, --,3101.64,3120.0,3093.51,,,
108,06/17/2020,3113.49, --,3136.13,3141.16,3108.03,,,
109,06/16/2020,3124.74, --,3131.0,3153.45,3076.06,,,
110,06/15/2020,3066.59, --,2993.76,3079.76,2965.66,,,
111,06/12/2020,3041.31, --,3071.04,3088.42,2984.47,,,
112,06/11/2020,3002.1, --,3123.53,3123.53,2999.49,,,
113,06/10/2020,3190.14, --,3213.42,3223.27,3181.49,,,
114,06/09/2020,3207.18, --,3213.32,3222.71,3193.11,,,
115,06/08/2020,3232.39, --,3199.92,3233.13,3196.0,,,
116,06/05/2020,3193.93, --,3163.84,3211.72,3163.84,,,
117,06/04/2020,3112.35, --,3111.56,3128.91,3090.41,,,
118,06/03/2020,3122.87, --,3098.9,3130.94,3098.9,,,
119,06/02/2020,3080.82, --,3064.78,3081.07,3051.64,,,
120,06/01/2020,3055.73, --,3038.78,3062.18,3031.54,,,
121,05/29/2020,3044.31, --,3025.17,3049.17,2998.61,,,
122,05/28/2020,3029.73, --,3046.61,3068.67,3023.4,,,
123,05/27/2020,3036.13, --,3015.65,3036.25,2969.75,,,
124,05/26/2020,2991.77, --,3004.08,3021.72,2988.17,,,
125,05/22/2020,2955.45, --,2948.05,2956.76,2933.59,,,
126,05/21/2020,2948.51, --,2969.95,2978.5,2938.57,,,
127,05/20/2020,2971.61, --,2953.63,2980.29,2953.63,,,
128,05/19/2020,2922.94, --,2948.59,2964.21,2922.35,,,
129,05/18/2020,2953.91, --,2913.86,2968.09,2913.86,,,
130,05/15/2020,2863.7, --,2829.95,2865.01,2816.78,,,
131,05/14/2020,2852.5, --,2794.54,2852.8,2766.64,,,
132,05/13/2020,2820.0, --,2865.86,2874.14,2793.15,,,
133,05/12/2020,2870.12, --,2939.5,2945.82,2869.59,,,
134,05/11/2020,2930.32, --,2915.46,2944.25,2903.44,,,
135,05/08/2020,2929.8, --,2908.83,2932.16,2902.88,,,
136,05/07/2020,2881.19, --,2878.26,2901.92,2876.48,,,
137,05/06/2020,2848.42, --,2883.14,2891.11,2847.65,,,
138,05/05/2020,2868.44, --,2868.88,2898.23,2863.55,,,
139,05/04/2020,2842.74, --,2815.01,2844.24,2797.85,,,
140,05/01/2020,2830.71, --,2869.09,2869.09,2821.61,,,
141,04/30/2020,2912.43, --,2930.91,2930.91,2892.47,,,
142,04/29/2020,2939.51, --,2918.46,2954.86,2912.16,,,
143,04/28/2020,2863.39, --,2909.96,2921.15,2860.71,,,
144,04/27/2020,2878.48, --,2854.65,2887.72,2852.89,,,
145,04/24/2020,2836.74, --,2812.64,2842.71,2791.76,,,
146,04/23/2020,2797.8, --,2810.42,2844.9,2794.26,,,
147,04/22/2020,2799.31, --,2787.89,2815.1,2775.95,,,
148,04/21/2020,2736.56, --,2784.81,2785.54,2727.1,,,
149,04/20/2020,2823.16, --,2845.62,2868.98,2820.43,,,
150,04/17/2020,2874.56, --,2842.43,2879.22,2830.88,,,
151,04/16/2020,2799.55, --,2799.34,2806.51,2764.32,,,
152,04/15/2020,2783.36, --,2795.64,2801.88,2761.54,,,
153,04/14/2020,2846.06, --,2805.1,2851.85,2805.1,,,
154,04/13/2020,2761.63, --,2782.46,2782.46,2721.17,,,
155,04/09/2020,2789.82, --,2776.99,2818.57,2762.36,,,
156,04/08/2020,2749.98, --,2685.0,2760.75,2663.3,,,
157,04/07/2020,2659.41, --,2738.65,2756.89,2657.67,,,
158,04/06/2020,2663.68, --,2578.28,2676.85,2574.57,,,
159,04/03/2020,2488.65, --,2514.92,2538.18,2459.96,,,
160,04/02/2020,2526.9, --,2458.54,2533.22,2455.79,,,
161,04/01/2020,2470.5, --,2498.08,2522.75,2447.49,,,
162,03/31/2020,2584.59, --,2614.69,2641.39,2571.15,,,
163,03/30/2020,2626.65, --,2558.98,2631.8,2545.28,,,
164,03/27/2020,2541.47, --,2555.87,2615.91,2520.02,,,
165,03/26/2020,2630.07, --,2501.29,2637.01,2500.72,,,
166,03/25/2020,2475.56, --,2457.77,2571.42,2407.53,,,
167,03/24/2020,2447.33, --,2344.44,2449.71,2344.44,,,
168,03/23/2020,2237.4, --,2290.71,2300.73,2191.86,,,
169,03/20/2020,2304.92, --,2431.94,2453.01,2295.56,,,
170,03/19/2020,2409.39, --,2393.48,2466.97,2319.78,,,
171,03/18/2020,2398.1, --,2436.5,2453.57,2280.52,,,
172,03/17/2020,2529.19, --,2425.66,2553.93,2367.04,,,
173,03/16/2020,2386.13, --,2508.59,2562.98,2380.94,,,
174,03/13/2020,2711.02, --,2569.99,2711.33,2492.37,,,
175,03/12/2020,2480.64, --,2630.86,2660.95,2478.86,,,
176,03/11/2020,2741.38, --,2825.6,2825.6,2707.22,,,
177,03/10/2020,2882.23, --,2813.48,2882.59,2734.0,,,
178,03/09/2020,2746.56, --,2863.89,2863.89,2734.43,,,
179,03/06/2020,2972.37, --,2954.2,2985.93,2901.54,,,
180,03/05/2020,3023.94, --,3075.7,3083.04,2999.83,,,
181,03/04/2020,3130.12, --,3045.75,3130.97,3034.38,,,
182,03/03/2020,3003.37, --,3096.46,3136.72,2976.63,,,
183,03/02/2020,3090.23, --,2974.28,3090.96,2945.19,,,
184,02/28/2020,2954.22, --,2916.9,2959.72,2855.84,,,
185,02/27/2020,2978.76, --,3062.54,3097.07,2977.39,,,
186,02/26/2020,3116.39, --,3139.9,3182.51,3108.99,,,
187,02/25/2020,3128.21, --,3238.94,3246.99,3118.77,,,
188,02/24/2020,3225.89, --,3257.61,3259.81,3214.65,,,
189,02/21/2020,3337.75, --,3360.5,3360.76,3328.45,,,
190,02/20/2020,3373.23, --,3380.45,3389.15,3341.02,,,
191,02/19/2020,3386.15, --,3380.39,3393.52,3378.83,,,
192,02/18/2020,3370.29, --,3369.04,3375.01,3355.61,,,
193,02/14/2020,3380.16, --,3378.08,3380.69,3366.15,,,
194,02/13/2020,3373.94, --,3365.9,3385.09,3360.52,,,
195,02/12/2020,3379.45, --,3370.5,3381.47,3369.72,,,
196,02/11/2020,3357.75, --,3365.87,3375.63,3352.72,,,
197,02/10/2020,3352.09, --,3318.28,3352.26,3317.77,,,
198,02/07/2020,3327.71, --,3335.54,3341.42,3322.12,,,
199,02/06/2020,3345.78, --,3344.92,3347.96,3334.39,,,
200,02/05/2020,3334.69, --,3324.91,3337.58,3313.75,,,
201,02/04/2020,3297.59, --,3280.61,3306.92,3280.61,,,
202,02/03/2020,3248.92, --,3235.66,3268.44,3235.66,,,
203,01/31/2020,3225.52, --,3282.33,3282.33,3214.68,,,
204,01/30/2020,3283.66, --,3256.45,3285.91,3242.8,,,
205,01/29/2020,3273.4, --,3289.46,3293.47,3271.89,,,
206,01/28/2020,3276.24, --,3255.35,3285.78,3253.22,,,
207,01/27/2020,3243.63, --,3247.16,3258.85,3234.5,,,
208,01/24/2020,3295.47, --,3333.1,3333.18,3281.53,,,
209,01/23/2020,3325.54, --,3315.77,3326.88,3301.87,,,
210,01/22/2020,3321.75, --,3330.02,3337.77,3320.04,,,
211,01/21/2020,3320.79, --,3321.03,3329.79,3316.61,,,
212,01/17/2020,3329.62, --,3323.66,3329.88,3318.86,,,
213,01/16/2020,3316.81, --,3302.97,3317.11,3302.82,,,
214,01/15/2020,3289.29, --,3282.27,3298.66,3280.69,,,
215,01/14/2020,3283.15, --,3285.35,3294.25,3277.19,,,
216,01/13/2020,3288.13, --,3271.13,3288.13,3268.43,,,
217,01/10/2020,3265.35, --,3281.81,3282.99,3260.86,,,
218,01/09/2020,3274.7, --,3266.03,3275.58,3263.67,,,
219,01/08/2020,3253.05, --,3238.59,3267.07,3236.67,,,
220,01/07/2020,3237.18, --,3241.86,3244.91,3232.43,,,
221,01/06/2020,3246.28, --,3217.55,3246.84,3214.64,,,
222,01/03/2020,3234.85, --,3226.36,3246.15,3222.34,,,
223,01/02/2020,3257.85, --,3244.67,3258.14,3235.53,,,
224,12/31/2019,3230.78, --,3215.18,3231.72,3212.03,,,
225,12/30/2019,3221.29, --,3240.09,3240.92,3216.57,,,
226,12/27/2019,3240.02, --,3247.23,3247.93,3234.37,,,
227,12/26/2019,3239.91, --,3227.2,3240.08,3227.2,,,
228,12/24/2019,3223.38, --,3225.45,3226.43,3220.51,,,
229,12/23/2019,3224.01, --,3226.05,3227.78,3222.3,,,
230,12/20/2019,3221.22, --,3223.33,3225.65,3216.03,,,
231,12/19/2019,3205.37, --,3192.32,3205.48,3192.32,,,
232,12/18/2019,3191.14, --,3195.21,3198.48,3191.14,,,
233,12/17/2019,3192.52, --,3195.4,3198.22,3191.03,,,
234,12/16/2019,3191.45, --,3183.63,3197.71,3183.63,,,
235,12/13/2019,3168.8, --,3166.65,3182.68,3156.51,,,
236,12/12/2019,3168.57, --,3141.23,3176.28,3138.47,,,
237,12/11/2019,3141.63, --,3135.75,3143.98,3133.21,,,
238,12/10/2019,3132.52, --,3135.36,3142.12,3126.09,,,
239,12/09/2019,3135.96, --,3141.86,3148.87,3135.46,,,
240,12/06/2019,3145.91, --,3134.62,3150.6,3134.62,,,
241,12/05/2019,3117.43, --,3119.21,3119.45,3103.76,,,
242,12/04/2019,3112.76, --,3103.5,3119.38,3102.53,,,
243,12/03/2019,3093.2, --,3087.41,3094.97,3070.33,,,
244,12/02/2019,3113.87, --,3143.85,3144.31,3110.78,,,
245,11/29/2019,3140.98, --,3147.18,3150.3,3139.34,,,
246,11/27/2019,3153.63, --,3145.49,3154.26,3143.41,,,
247,11/26/2019,3140.52, --,3134.85,3142.69,3131.0,,,
248,11/25/2019,3133.64, --,3117.44,3133.83,3117.44,,,
249,11/22/2019,3110.29, --,3111.41,3112.87,3099.26,,,
250,11/21/2019,3103.54, --,3108.49,3110.11,3094.55,,,
251,11/20/2019,3108.46, --,3114.66,3118.97,3091.41,,,
252,11/19/2019,3120.18, --,3127.45,3127.64,3113.47,,,
253,11/18/2019,3122.03, --,3117.91,3124.17,3112.06,,,
254,11/15/2019,3120.46, --,3107.92,3120.46,3104.6,,,
255,11/14/2019,3096.63, --,3090.75,3098.2,3083.26,,,
256,11/13/2019,3094.04, --,3084.18,3098.06,3078.8,,,
257,11/12/2019,3091.84, --,3089.28,3102.61,3084.73,,,
258,11/11/2019,3087.01, --,3080.33,3088.33,3075.82,,,
259,11/08/2019,3093.08, --,3081.25,3093.09,3073.58,,,
260,11/07/2019,3085.18, --,3087.02,3097.77,3080.23,,,
261,11/06/2019,3076.78, --,3075.1,3078.34,3065.89,,,
262,11/05/2019,3074.62, --,3080.8,3083.95,3072.15,,,
263,11/04/2019,3078.27, --,3078.96,3085.2,3074.87,,,
264,11/01/2019,3066.91, --,3050.72,3066.95,3050.72,,,
265,10/31/2019,3037.56, --,3046.9,3046.9,3023.19,,,
266,10/30/2019,3046.77, --,3039.74,3050.1,3025.96,,,
267,10/29/2019,3036.89, --,3035.39,3047.87,3034.81,,,
268,10/28/2019,3039.42, --,3032.12,3044.08,3032.12,,,
269,10/25/2019,3022.55, --,3003.32,3027.39,3001.94,,,
270,10/24/2019,3010.29, --,3014.78,3016.07,3000.42,,,
271,10/23/2019,3004.52, --,2994.01,3004.78,2991.21,,,
272,10/22/2019,2995.99, --,3010.73,3014.57,2995.04,,,
273,10/21/2019,3006.72, --,2996.48,3007.33,2995.35,,,
274,10/18/2019,2986.2, --,2996.84,3000.0,2976.31,,,
275,10/17/2019,2997.95, --,3000.77,3008.29,2991.79,,,
276,10/16/2019,2989.69, --,2989.68,2997.54,2985.2,,,
277,10/15/2019,2995.68, --,2973.61,3003.28,2973.61,,,
278,10/14/2019,2966.15, --,2965.81,2972.84,2962.94,,,
279,10/11/2019,2970.27, --,2963.07,2993.28,2963.07,,,
280,10/10/2019,2938.13, --,2918.55,2948.46,2917.12,,,
281,10/09/2019,2919.4, --,2911.1,2929.32,2907.41,,,
282,10/08/2019,2893.06, --,2920.4,2925.47,2892.66,,,
283,10/07/2019,2938.79, --,2944.23,2959.75,2935.68,,,
284,10/04/2019,2952.01, --,2918.56,2953.74,2918.56,,,
285,10/03/2019,2910.63, --,2885.38,2911.13,2855.94,,,
286,10/02/2019,2887.61, --,2924.78,2924.78,2874.93,,,
287,10/01/2019,2940.25, --,2983.69,2992.53,2938.7,,,
288,09/30/2019,2976.74, --,2967.07,2983.85,2967.07,,,
289,09/27/2019,2961.79, --,2985.47,2987.31,2945.53,,,
290,09/26/2019,2977.62, --,2985.73,2987.28,2963.71,,,
291,09/25/2019,2984.87, --,2968.35,2989.82,2952.86,,,
292,09/24/2019,2966.6, --,3002.43,3007.98,2957.73,,,
293,09/23/2019,2991.78, --,2983.5,2999.15,2982.23,,,
294,09/20/2019,2992.07, --,3008.42,3016.37,2984.68,,,
295,09/19/2019,3006.79, --,3010.36,3021.99,3003.16,,,
296,09/18/2019,3006.73, --,3001.5,3007.83,2978.57,,,
297,09/17/2019,3005.7, --,2995.67,3006.21,2993.73,,,
